angle_deg,360000.0,680000.0
0.0,0.0,0.0
2.5595,0.00113,0.0047
6.4855,0.00717,0.01394
10.7475,0.02598,0.03195
14.759,0.04149,0.04591
18.59,-0.0598,-0.00632
22.6775,-0.05802,-0.05259
26.5765,-0.08229,-0.07067
30.6995,-0.08909,-0.12875
34.6025,-0.08894,-0.14512
38.475,-0.20015,-0.17227
40.5695,-0.10216,-0.16548
42.57,-0.05946,-0.2197
45.3935,-0.22518,-0.16275
50.391,-0.34478,-0.2671
55.5235,-0.35135,-0.04582
60.482,-0.39787,-0.26938
65.46,-0.45753,-0.14878
70.4825,-0.15704,-0.40508
75.4645,-0.48262,-0.30546
80.4515,-0.262,-0.2084
85.4085,-0.49265,-0.38121
90.391,-0.52767,-0.42177
95.5495,-0.28151,-0.4183
100.486,-0.46037,-0.45413
105.519,-0.27295,-0.45453
110.5665,-0.49075,-0.19289
115.504,-0.54078,-0.39272
120.4775,-0.55632,-0.53945
125.4365,-0.471,-0.49122
130.593,-0.4037,-0.4559
135.5915,-0.44432,-0.51675
140.5805,-0.40062,-0.47865
145.4795,-0.4974,-0.39231
150.586,-0.35717,-0.38745
155.573,-0.32732,-0.33435
160.623,-0.28579,-0.2935
165.721,-0.279,-0.35144
170.745,-0.41985,-0.42721
175.8775,-0.28506,-0.30242
180.0,0.0,0.0
