xi,Cl,Cd
0.000,-0.0167,-1.0285
0.500,-1.7077,-1.7515
1.000,-2.4377,-1.5328
1.500,-3.4938,-1.1300
2.000,-3.9125,-0.5516
2.500,-7.6077,0.4819
3.000,-10.9479,0.7092
3.500,-13.8854,-0.2189
4.000,-14.1916,-0.9424
5.000,-10.1991,-2.0621
6.000,-11.5978,-2.1492
